changhong/长虹	10119220	898
konka/康佳	10652455	700
joyoung/九阳	10263531	700
midea/美的	10551418	700
aux/奥克斯	10685413	700
royalstar/荣事达	10695945	700
flyco/飞科	10263514	700
ronshen/容声	10767563	700
galanz/格兰仕	10335357	700
bear/小熊	10840020	700
小浣熊	10943632	700
supor/苏泊尔	10191422	700
南极人	10651059	700
peskoe/半球	10129699	700
liven/利仁	10878098	700
philips/飞利浦	10577241	700
meiling/美菱	10623605	700
chigo/志高	10119229	699
malata/万利达	10077073	699
康夫	10222236	698
airmate/艾美特	10767664	693
红心	10917285	692
deerma/德尔玛	10700343	691
sast/先科	10153298	684
扬子	10291494	680
povos/奔腾	10469251	667
hanjiaours/汉佳欧斯	10417842	648
frestech/新飞	10119227	642
hyundai/现代	10253457	639
钻石牌	3330104	630
山本	10264363	628
tcl	10651454	619
red double happiness/红双喜	10694003	602
donlim/东菱	10263712	600
zolee/中联	10719581	571
senssun/香山	10217265	528
camel/骆驼（家用电器）	10937418	500
panasonic/松下	10930309	500
haier/海尔	10219513	500
沁园	10551501	499
金稻（美发工具）	12656423	499
gree/格力	10407445	499
金正	10628264	492
sid/超人	10479333	492
tonze/天际	10047670	485
poree/博锐	10848060	464
璐瑶	10438483	433
whirlpool/惠而浦	10420632	430
morphy richards/摩飞电器/摩飞	10549939	428
kamjove/金灶	10057691	425
chinoe/中诺	10476495	423
三的	10876053	422
amoi/夏新	10578925	421
大红鹰	10336921	414
ultradent/希尔顿	10855917	412
double happiness/双喜	10191972	412
烟斗	10553012	411
领锐（家电）	12660269	388
angel/安吉尔	10263846	385
do master/大师傅	10182834	381
singfun/先锋	10197883	379
小南瓜	10608668	378
runwe/朗威	10263923	374
俊媳妇	10631002	373
xiaomi/小米	10698337	369
ecovacs/科沃斯	10410197	365
dayu food/大宇	10061008	359
jare/佳仁	10913449	348
westinghouse/西屋	10268880	344
凯琴	10700991	339
worms	10337147	339
life element/生活元素	10688616	336
威力	10484805	323
honguo/红果	10278513	323
申花	10237560	320
上菱	10840237	320
家实	10407545	315
科美	10890379	312
达贺	10769753	309
菊花	10967795	305
蓉城	10344561	299
love is perfect/爱之美	10547289	292
subor/小霸王	10335542	285
riwa/雷瓦	10426293	278
seago/赛嘉	10324172	271
oralb/欧乐b	10721343	267
daewoo/大宇	10272634	263
乐浦（lopol）	10937452	260
trueman/真汉子	10119330	254
科帅	10918915	251
rewell/日威	10719931	248
wahson/华生	10839815	241
pritech/匹奇	10213887	237
bbk/步步高	10837962	229
dyson/戴森	10197261	220
braun/博朗	10191413	217
金凯瑞	10078735	215
codos/科德士	10265695	211
杰诺	10418510	204
viomi/云米	10086294	203
RW/容威	10274675	200
摩飞电器	10549939	200
永日	10939623	197
素士	10660465	197
aca/北美电器	10943619	196
usata/御尚堂	10667431	193
小狗	10341998	191
aucma/澳柯玛	10263415	189
启邦	12657753	184
万佳（wanjia）	12658710	176
韩夫人	10526215	169
海牌	10407559	168
hurma/惠妈	10994567	165
boro/宝岚	10631448	165
asd/爱仕达	10479858	162
格立高	10190432	159
yangzi	10581705	152
sanxingkeji	10053602	150
breo/倍轻松	10928520	148
jame/嘉美	10122154	146
yoice/优益	10883397	146
盛发	10697804	141
brita/碧然德	10914703	140
iris/爱丽思	10265023	139
mz/茗振	10356756	139
cloris/凯伦诗	10137056	139
ajl/安家乐	10126927	138
小贝熊	11030866	137
智感	10054532	131
sangpengtang/尚朋堂	10042629	130
净恩	10622656	130
人杰	10438373	126
petrus/柏翠	10913730	125
roaman/罗曼	10808633	124
蒙得	10148974	123
火之凤	10483517	122
长帝	10857799	121
kesun/科顺	10697290	120
大马力	10555548	120
多星	10553676	119
k·kou/吉谷	10234675	119
普立	10846148	119
俞兆林	10337768	117
huawei/华为	10365607	116
delonghi/德龙	10624031	116
海尔施特劳斯	10797245	115
龙力	10923694	112
万宝	10774248	110
福菱	10845147	109
sanyo/三洋	10578775	109
华心	10212278	108
playbear/小玩熊	10396944	108
皇威	10722646	106
映趣	10953357	105
亿力	10917457	103
bevan/毕梵（个人护理）	10376178	103
bull/公牛	10509525	101
doxo/多希尔	10587785	101
威衡	10051349	100
skyworth/创维	10365674	100
mks/美克斯	10049084	100
iken	10967846	99
爱德	10922351	99
hap/韩派	10180960	98
le er kang/乐尔康	10268165	96
apiyoo	10051410	95
lexy/莱克	10710208	92
华尔	10336562	92
焱魔方	10936905	90
usmile	10943422	88
deli/得力	10721838	83
ENCHEN/昂臣	10688910	82
bobot	10700949	77
鸣盏	12660724	75
金羚	10695941	74
seko/新功	10286257	74
nathome/北欧欧慕	10709004	72
skg	10768959	72
墨氏	10180702	72
cih	11027306	71
拜尔/bair	10192591	70
DSP/德斯帕	10338621	69
laica/莱卡	10623189	69
hauswirt/海氏	10765172	69
aquablue/蓝宝	10017823	68
giec/杰科	10772167	68
喜康	10592253	68
sy/思育	10111462	68
泰昌	10650943	67
厚政	10508217	67
pgg	10488892	66
sezze/西哲	2322275308	66
莺歌烧	10921716	66
快勤	10695469	66
imate	10412401	65
irobot/艾罗伯特	99714428	65
几素	10943616	65
fagor/法格	10935220	65
motorola/摩托罗拉	10649108	64
dupont/杜邦	10801030	64
奥科	10266624	64
sakura/樱花	10003007	63
msq/美思奇	10573950	62
hotor/浩特	10710487	62
立奇	10845872	62
vatti/华帝	10839802	62
茁美	10101156	61
arparc/阿帕其	10626826	61
cetus/赛特斯	10340077	61
everpure/爱惠浦	10479656	60
晋腾	10147774	60
salav/贝尔莱德	10580107	59
东智	10636190	58
伊莱特	10553858	58
waterpik/洁碧	10443570	58
龙的	10479299	58
赛亿	10423100	58
金鼎	10912706	57
sharp/夏普	10794289	57
kungchung/公众	10780518	56
sansui/山水	10189360	56
水田	10563854	56
爱宁	10049055	55
yidpu/亿德浦	11000648	55
卫宁	10845418	55
kemei	10701212	55
家宝风	10931406	55
jmey/集米	10965859	55
本博	10657342	55
共田	11005716	54
远东	10649195	54
ulike	10186206	53
美能迪	10909331	53
lowra rouge	10155675	53
九殿	10850776	53
lenovo/联想	10363832	53
洁霸	10790470	52
rotai/荣泰	10578701	52
薇新（wellskins）	11030868	52
torras/图拉斯	10161621	51
ukoeo/优开	10492043	51
lena	10626786	51
bruno（电器）	10943806	50
京弗	99714406	50
旭帝	10991315	50
sorge/秀竹	10346109	49
奥然	10135522	49
长立	10797699	49
乔治史帝夫	10941424	49
amos/亚摩斯	10646246	48
易欣	10636302	48
mitsubishi/三菱	10856364	48
伯乐马	10022856	48
傻厨	10844494	48
migoo/咪咕	10545661	48
solis/索利斯	10867218	48
flexwarm/飞乐思	10874053	48
益美	10353327	47
locus/诺洁仕	10797546	47
生活日记	10566714	46
优雪	10814309	46
多丽	10080597	45
kbh/康巴赫	10490009	45
大德	10932039	45
宝尔玛	10197997	45
hungsun/鸿芯	10611573	45
家卫士	10086874	44
huaco/华强	10185175	44
普康	10842180	44
wfirst/标王	10724866	44
toshiba/东芝	10146840	44
jimmy/莱克吉米	10907864	43
飞派	10958032	43
诺比克	10770976	43
fa so la	10081092	43
airplus	10164826	43
康铭	10049853	42
铂瑞	10199201	42
锋霸	10333776	42
xm/芯美	10776535	42
直白	10654504	42
novus	10144392	42
sixth element/第六元素	10490317	41
loyola/忠臣	10563642	41
美构	10950625	41
惠当家	10510404	41
寻秋	10058125	41
kernel/科诺	10477073	41
杉宁	10454260	40
doulton/道尔顿	10208316	40
cuckoo/福库	10121934	40
crystal palace/水晶宫	10247286	40
天骏	10698905	40
盈信	10577578	40
honeywell/霍尼韦尔	10340699	40
electrolux/伊莱克斯	10047268	40
明爵	10484117	39
康雅顺	10629125	39
eupa/灿坤	10551805	39
bwt	10477592	39
皇太太	10622781	39
wmf	10842372	39
nuotai/诺泰	10943801	39
genpai/君派	10358886	39
立挺	10913768	39
nespresso/奈斯派索	10801199	38
臻米	11005186	38
天喜	10769373	38
欧之宝	10333700	38
tineco/添可	10943322	38
yas/牙喜	10843301	38
米小白	11013008	38
亚力西	10557739	38
miniso/名创优品	10635758	38
mihasga/铭浩世佳	10998463	37
于果	10059895	37
brsddq	10563159	37
hurom/惠人	10809098	37
ASZUNE/艾苏恩	10014246	37
宝润	10944044	37
邦洋	10413945	37
saky/舒客	10783535	37
千寿	10102855	37
千臣	12660134	37
四季沐歌	10916085	36
jhs	10060500	36
thermos/膳魔师	10702449	36
ashmore/艾诗摩尔	10666569	35
tinme	10970938	35
eosin/永生	10574084	35
rileosip/雅乐思	10077601	35
tenfly	10481240	35
蓝导	10272446	35
flyingbulls/飞牛	10836700	35
moido	10958331	34
beryl/贝雅	10283303	34
沙宣	10036066	34
金盾（家电）	12660624	34
涛声	10339703	34
兴安邦乐	861348621	34
康忆安	10786927	34
seeden	12653528	34
bearos/北球	10215504	33
soglen/苏格伦	10584986	33
a4box/适盒	11030988	33
miui	11031740	33
karcher/卡赫	10391883	33
至尊	10848143	32
irest/艾力斯特	10075517	32
amiro	10807972	32
hattiecs/海蒂诗	10829552	32
